Education,Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Total_Children,Total_Spent,Total_Purchases,Online_Ratio,Store_Ratio,Customer_Tenure_Days,Total_Accepted_Campaigns,Campaign_Response_Flag,Cluster_KMeans,Conversion_Level
Graduation,Married,37040.0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,43,0,316,12,0.46153846153846156,0.38461538461538464,4741.0,0,0,0,Baixa Conversão
Graduation,Married,2447.0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,46,1,1730,43,0.6363636363636364,0.0,4444.0,0,0,1,Alta Conversão
PhD,Married,58607.0,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,76,1,972,17,0.2777777777777778,0.5,4413.766375545852,1,1,2,Média Conversão
PhD,Married,65324.0,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,71,1,544,20,0.38095238095238093,0.42857142857142855,3926.0,0,0,1,Alta Conversão
Graduation,Together,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,74,1,444,20,0.38095238095238093,0.23809523809523808,4413.766375545852,0,0,0,Baixa Conversão
Graduation,Single,18589.0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,56,0,75,8,0.3333333333333333,0.3333333333333333,4564.0,0,0,0,Baixa Conversão
Graduation,Married,53359.0,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,49,2,257,14,0.4,0.26666666666666666,4413.766375545852,0,0,0,Baixa Conversão
Graduation,Single,52247.25135379061,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,39,1,637,27,0.9642857142857143,0.0,4413.766375545852,0,0,1,Alta Conversão
Graduation,Married,38360.0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,36,1,131,9,0.3,0.4,4413.766375545852,0,0,0,Baixa Conversão
PhD,Married,84618.0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,60,0,1672,26,0.5555555555555556,0.37037037037037035,4413.766375545852,1,1,2,Média Conversão
Master,Divorced,10979.0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,36,0,30,8,0.3333333333333333,0.3333333333333333,4413.766375545852,0,0,0,Baixa Conversão
Master,Together,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,62,0,318,11,0.5833333333333334,0.25,4287.0,0,0,0,Baixa Conversão
Graduation,Together,40548.0,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,55,1,120,9,0.3,0.4,4678.0,1,1,0,Baixa Conversão
PhD,Divorced,46610.0,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,73,2,302,17,0.2777777777777778,0.3333333333333333,4413.766375545852,0,0,0,Baixa Conversão
Master,Married,68657.0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,79,0,1196,18,0.42105263157894735,0.47368421052631576,4413.766375545852,0,0,1,Alta Conversão
Master,Single,49389.0,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,74,2,65,6,0.2857142857142857,0.42857142857142855,4413.766375545852,0,0,0,Baixa Conversão
PhD,Married,67353.0,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,55,1,913,28,0.3793103448275862,0.41379310344827586,4413.766375545852,0,0,1,Alta Conversão
2n Cycle,Married,23718.0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,49,1,81,9,0.4,0.2,4556.0,0,0,0,Baixa Conversão
Graduation,Widow,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,52,1,67,7,0.25,0.375,3925.0,0,0,0,Baixa Conversão
PhD,Divorced,48948.0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,82,0,902,24,0.68,0.2,4594.0,1,1,2,Média Conversão
Graduation,Married,80011.0,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,45,1,1395,21,0.6363636363636364,0.22727272727272727,4413.766375545852,0,0,1,Alta Conversão
Master,Married,20559.0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,40,1,53,7,0.25,0.375,4259.0,0,0,0,Baixa Conversão
Graduation,Together,21994.0,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,68,1,22,4,0.0,0.6,4413.766375545852,0,0,0,Baixa Conversão
PhD,Single,52247.25135379061,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,66,0,186,9,0.4,0.4,4465.0,0,0,0,Baixa Conversão
Master,Married,7500.0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,50,1,31,8,0.2222222222222222,0.3333333333333333,4555.0,0,0,0,Baixa Conversão
Graduation,Single,79941.0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,49,0,984,16,0.35294117647058826,0.5294117647058824,4413.766375545852,0,0,1,Alta Conversão
2n Cycle,Married,7500.0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,29,0,122,10,0.36363636363636365,0.2727272727272727,4707.0,0,0,0,Baixa Conversão
Graduation,Together,41728.0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,57,1,55,5,0.3333333333333333,0.3333333333333333,4413.766375545852,0,0,0,Baixa Conversão
Graduation,Single,52247.25135379061,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,74,3,124,10,0.2727272727272727,0.36363636363636365,4230.0,0,0,0,Baixa Conversão
PhD,Married,72550.0,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,71,2,1319,28,0.2413793103448276,0.41379310344827586,4738.0,0,0,1,Alta Conversão
Graduation,Widow,65486.0,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,68,1,507,17,0.3333333333333333,0.5555555555555556,3892.0,0,0,1,Alta Conversão
Master,Married,79143.0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,61,0,1693,29,0.5,0.43333333333333335,4649.0,0,0,1,Alta Conversão
Graduation,Single,35790.0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,48,1,72,7,0.25,0.375,4564.0,0,0,0,Baixa Conversão
Graduation,Divorced,82582.0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,48,0,1617,21,0.5909090909090909,0.3181818181818182,4044.0,2,1,2,Média Conversão
Graduation,Married,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,47,2,606,23,0.25,0.4166666666666667,4256.0,0,0,1,Alta Conversão
Master,Together,82384.0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,70,0,1957,27,0.4642857142857143,0.4642857142857143,4413.766375545852,1,1,2,Média Conversão
Graduation,Divorced,70287.0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,59,0,1093,21,0.45454545454545453,0.45454545454545453,4561.0,0,0,1,Alta Conversão
Graduation,Single,27938.0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,37,1,29,6,0.14285714285714285,0.5714285714285714,4413.766375545852,0,0,0,Baixa Conversão
Graduation,Single,52247.25135379061,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,43,1,46,7,0.25,0.375,4413.766375545852,0,0,0,Baixa Conversão
PhD,Married,55954.0,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,57,1,518,19,0.5,0.3,4169.0,0,0,1,Alta Conversão
Master,Single,75777.0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,43,0,1438,21,0.4090909090909091,0.5,4499.0,2,1,2,Média Conversão
Graduation,Together,66653.0,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,50,2,612,22,0.2608695652173913,0.5217391304347826,4771.0,0,0,1,Alta Conversão
Graduation,Single,61823.0,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,73,1,884,24,0.4,0.4,4413.766375545852,0,0,1,Alta Conversão
PhD,Widow,67680.0,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,74,1,606,19,0.5,0.4,4286.0,0,0,1,Alta Conversão
Graduation,Together,70666.0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,77,0,1076,16,0.6470588235294118,0.23529411764705882,4433.0,0,0,1,Alta Conversão
Graduation,Married,25721.0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,54,1,34,5,0.3333333333333333,0.3333333333333333,4413.766375545852,0,0,0,Baixa Conversão
Graduation,Together,32474.0,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,58,2,11,4,0.2,0.4,3922.0,0,0,0,Baixa Conversão
2n Cycle,Single,88194.0,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,46,1,1274,32,0.6363636363636364,0.30303030303030304,4413.766375545852,2,1,2,Média Conversão
Graduation,Together,69096.0,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,67,1,653,18,0.3684210526315789,0.5263157894736842,4413.766375545852,0,0,1,Alta Conversão
Graduation,Together,74854.0,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,55,3,1562,19,0.35,0.25,4380.0,0,0,1,Alta Conversão
Master,Married,66991.0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,71,0,1253,21,0.5454545454545454,0.2727272727272727,4648.0,0,0,1,Alta Conversão
2n Cycle,Married,52247.25135379061,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,52,1,109,9,0.3,0.3,4413.766375545852,0,0,0,Baixa Conversão
Graduation,Married,65031.0,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,66,1,863,30,0.41935483870967744,0.41935483870967744,4413.766375545852,0,0,1,Alta Conversão
PhD,Married,60631.0,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,50,2,661,24,0.44,0.32,4472.0,1,1,2,Média Conversão
Graduation,Married,28332.0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,73,0,65,8,0.3333333333333333,0.4444444444444444,4413.766375545852,0,0,0,Baixa Conversão
Graduation,Divorced,40246.0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,48,1,13,4,0.2,0.4,4413.766375545852,0,0,0,Baixa Conversão
Master,Married,75251.0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,53,0,1890,19,0.65,0.25,4413.766375545852,0,0,1,Alta Conversão
Graduation,Single,75825.0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,49,0,2209,22,0.5652173913043478,0.391304347826087,4617.0,1,1,2,Média Conversão
2n Cycle,Together,26326.0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,49,0,18,4,0.0,0.6,4497.0,0,0,0,Baixa Conversão
Graduation,Together,56046.0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,60,0,692,21,0.5,0.36363636363636365,4564.0,1,1,2,Média Conversão
Graduation,Single,29760.0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,40,1,165,12,0.3076923076923077,0.3076923076923077,4413.766375545852,0,0,0,Baixa Conversão
Graduation,Married,26304.0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,56,1,16,4,0.2,0.4,4413.766375545852,0,0,0,Baixa Conversão
2n Cycle,Married,23559.0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,52,1,79,9,0.3,0.3,4530.0,0,0,0,Baixa Conversão
Master,Together,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,62,0,318,11,0.5833333333333334,0.25,4287.0,0,0,0,Baixa Conversão
Graduation,Divorced,81361.0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,38,0,778,27,0.4642857142857143,0.4642857142857143,4413.766375545852,0,0,1,Alta Conversão
Graduation,Married,29440.0,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,65,2,56,7,0.125,0.5,4284.0,0,0,0,Baixa Conversão
Master,Married,36138.0,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,55,2,151,13,0.2857142857142857,0.2857142857142857,4413.766375545852,1,1,0,Baixa Conversão
Graduation,Single,50388.0,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,68,1,372,17,0.3888888888888889,0.3333333333333333,4413.766375545852,2,1,2,Média Conversão
Graduation,Married,79593.0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,52,0,1366,19,0.55,0.35,3892.0,1,1,2,Média Conversão
Graduation,Together,54178.0,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,58,1,194,10,0.36363636363636365,0.45454545454545453,4413.766375545852,0,0,0,Baixa Conversão
PhD,Married,52247.25135379061,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,68,3,603,29,0.3,0.26666666666666666,4413.766375545852,0,0,1,Alta Conversão
Graduation,Single,52247.25135379061,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,68,2,18,4,0.2,0.4,4413.766375545852,0,0,0,Baixa Conversão
Master,Together,52247.25135379061,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,52,0,985,15,0.375,0.5,4413.766375545852,0,0,1,Alta Conversão
Master,Single,42394.0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,53,1,32,5,0.16666666666666666,0.5,4413.766375545852,0,0,0,Baixa Conversão
PhD,Married,23626.0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,55,1,43,10,0.36363636363636365,0.2727272727272727,4413.766375545852,0,0,0,Baixa Conversão
Graduation,Married,30096.0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,42,1,45,6,0.2857142857142857,0.42857142857142855,4413.766375545852,0,0,0,Baixa Conversão
Graduation,Widow,47916.0,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,65,1,606,22,0.4782608695652174,0.2608695652173913,4413.766375545852,1,1,2,Média Conversão
Graduation,Divorced,51813.0,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,53,2,63,7,0.25,0.375,4288.0,0,0,0,Baixa Conversão
2n Cycle,Married,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,74,0,978,25,0.46153846153846156,0.46153846153846156,4584.0,1,1,2,Média Conversão
PhD,Married,50150.0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,42,0,410,16,0.4117647058823529,0.4117647058823529,4413.766375545852,0,0,0,Baixa Conversão
2n Cycle,Single,47823.0,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,65,1,72,7,0.25,0.375,4413.766375545852,0,0,0,Baixa Conversão
PhD,Single,34554.0,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,66,1,55,7,0.25,0.375,4413.766375545852,0,0,0,Baixa Conversão
Graduation,Together,85693.0,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,46,1,1169,27,0.5,0.39285714285714285,4413.766375545852,0,0,1,Alta Conversão
PhD,Married,65846.0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,80,0,1120,16,0.5294117647058824,0.35294117647058826,4413.766375545852,0,0,1,Alta Conversão
Graduation,Married,87195.0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,66,0,1097,20,0.6666666666666666,0.23809523809523808,4014.0,0,0,1,Alta Conversão
Basic,Together,24594.0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,46,1,29,5,0.16666666666666666,0.5,4311.0,0,0,0,Baixa Conversão
Graduation,Married,49096.0,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,61,2,187,13,0.35714285714285715,0.2857142857142857,4413.766375545852,0,0,0,Baixa Conversão
Graduation,Married,52413.0,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,56,2,910,26,0.37037037037037035,0.4444444444444444,4563.0,0,0,1,Alta Conversão
Graduation,Single,38557.0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,47,1,145,9,0.4,0.3,4413.766375545852,0,0,0,Baixa Conversão
Master,Married,89058.0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,65,0,850,14,0.6,0.26666666666666666,4768.0,0,0,1,Alta Conversão
Graduation,Together,77298.0,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,46,1,969,24,0.48,0.44,4554.0,0,0,1,Alta Conversão
PhD,Single,68126.0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,34,0,1820,17,0.6111111111111112,0.2777777777777778,4677.0,1,1,2,Média Conversão
Master,Together,57288.0,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,62,1,608,20,0.42857142857142855,0.38095238095238093,4413.766375545852,1,1,2,Média Conversão
Graduation,Single,86037.0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,34,0,730,25,0.5,0.4230769230769231,4564.0,2,1,2,Média Conversão
PhD,Married,43974.0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,45,1,551,21,0.45454545454545453,0.2727272727272727,4615.0,0,0,1,Alta Conversão
Graduation,Single,50785.0,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,63,2,114,8,0.3333333333333333,0.3333333333333333,4314.0,0,0,0,Baixa Conversão
Graduation,Married,90765.0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,55,0,1724,15,0.625,0.3125,4413.766375545852,2,1,2,Média Conversão
2n Cycle,Married,36550.0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,47,1,577,20,0.47619047619047616,0.23809523809523808,4413.766375545852,0,0,0,Baixa Conversão
2n Cycle,Together,30753.0,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,58,2,81,7,0.25,0.375,4285.0,0,0,0,Baixa Conversão
Graduation,Together,21918.0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,56,1,33,7,0.25,0.375,4413.766375545852,0,0,0,Baixa Conversão
Master,Together,56129.0,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,72,1,660,22,0.34782608695652173,0.43478260869565216,4413.766375545852,0,0,1,Alta Conversão
Master,Single,32557.0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,58,1,80,9,0.3,0.3,4413.766375545852,0,0,0,Baixa Conversão
Master,Married,19510.0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,40,2,30,6,0.14285714285714285,0.42857142857142855,4497.0,0,0,0,Baixa Conversão
Graduation,Divorced,30992.0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,49,1,43,5,0.16666666666666666,0.5,4413.766375545852,0,0,0,Baixa Conversão
Graduation,Single,101970.0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,42,0,1135,27,0.5,0.4642857142857143,4259.0,3,1,2,Média Conversão
2n Cycle,Together,71488.0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,60,0,559,16,0.4117647058823529,0.4117647058823529,4413.766375545852,0,0,1,Alta Conversão
Graduation,Single,79607.0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,41,0,1923,16,0.5294117647058824,0.35294117647058826,4413.766375545852,0,0,1,Alta Conversão
Master,Married,54348.0,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,72,2,90,8,0.2222222222222222,0.4444444444444444,4013.0,0,0,0,Baixa Conversão
PhD,Married,52247.25135379061,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,64,1,404,17,0.3888888888888889,0.3888888888888889,4285.0,0,0,0,Baixa Conversão
PhD,Together,77376.0,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,69,2,661,23,0.375,0.4166666666666667,3953.0,0,0,1,Alta Conversão
Graduation,Married,62998.0,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,73,1,463,19,0.45,0.25,4413.766375545852,0,0,1,Alta Conversão
Master,Alone,61331.0,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,67,2,632,23,0.5,0.25,4320.0,0,0,1,Alta Conversão
Graduation,Married,73448.0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,56,0,725,19,0.45,0.45,3956.0,0,0,1,Alta Conversão
Graduation,Married,52247.25135379061,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0,62,1,725,19,0.55,0.35,4284.0,0,0,1,Alta Conversão
PhD,Married,41551.0,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,61,2,279,16,0.35294117647058826,0.29411764705882354,4413.766375545852,0,0,0,Baixa Conversão
PhD,Together,62981.0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,58,0,1482,23,0.375,0.5416666666666666,4413.766375545852,1,1,2,Média Conversão
Basic,Divorced,9548.0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,49,1,29,6,0.14285714285714285,0.42857142857142855,4741.0,0,0,0,Baixa Conversão
PhD,Married,33762.0,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,66,3,106,9,0.4,0.2,4408.0,0,0,0,Baixa Conversão
PhD,Alone,35860.0,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,52,2,49,6,0.2857142857142857,0.2857142857142857,4413.766375545852,1,1,0,Baixa Conversão
PhD,Divorced,36921.0,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,60,2,38,7,0.25,0.375,4413.766375545852,0,0,0,Baixa Conversão
Master,Single,92859.0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,33,0,2077,22,0.391304347826087,0.5217391304347826,4413.766375545852,0,0,1,Alta Conversão
Master,Together,65104.0,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,49,1,1053,17,0.4444444444444444,0.3888888888888889,4413.766375545852,0,0,1,Alta Conversão
